State,President,Prime Minister
Nigeria, Muhammadu Buhari
Ethiopia, Sahle-Work Zewde,Abiy Ahmed
Democratic Republic of the Congo, Félix Tshisekedi,Jean-Michel Sama Lukonde
Egypt, Abdel Fattah el-Sisi,Mostafa Madbouly
South Africa, Cyril Ramaphosa
Tanzania, Samia Suluhu Hassan,Kassim Majaliwa
Kenya, Uhuru Kenyatta
Uganda, Yoweri Museveni,Robinah Nabbanja
Algeria, Abdelmadjid Tebboune,Aymen Benabderrahmane
Sudan,  Chairman of the Transitional Sovereignty Council  Abdel Fattah al-Burhan,Vacant
Morocco,  King  Mohammed VI,  of the Government  Aziz Akhannouch
Angola, João Lourenço
Ghana, Nana Akufo-Addo
Cameroon, Paul Biya,Joseph Ngute
Madagascar, Andry Rajoelina,Christian Ntsay
Mozambique, Filipe Nyusi,Carlos Agostinho do Rosário
Ivory Coast, Alassane Ouattara,Patrick Achi
Niger, Mohamed Bazoum,Ouhoumoudou Mahamadou
Burkina Faso, Roch Marc Christian Kaboré,Christophe Joseph Marie Dabiré
Malawi, Lazarus Chakwera
Somalia, Mohamed Abdullahi Mohamed,Mohamed Hussein Roble
Zimbabwe, Emmerson Mnangagwa
Zambia, Hakainde Hichilema
Senegal, Macky Sall
South Sudan, Salva Kiir Mayardit
Rwanda, Paul Kagame,Édouard Ngirente
Guinea,  Mamady Doumbouya, Mohamed Béavogui
Benin, Patrice Talon
Tunisia, Kaïs Saïed,Najla Bouden
Burundi, Évariste Ndayishimiye,Alain-Guillaume Bunyoni
Sierra Leone, Julius Maada Bio, Chief Minister  Jacob Jusu Saffa
Togo, Faure Gnassingbé,Victoire Tomegah Dogbé
Libya, Abdul Hamid Dbeibeh
Republic of the Congo, Denis Sassou Nguesso,Anatole Collinet Makosso
Liberia, George Weah
Central African Republic, Faustin-Archange Touadéra,Henri-Marie Dondra
Mauritania, Mohamed Ould Ghazouani,Mohamed Ould Bilal
Gambia, Adama Barrow
Botswana, Mokgweetsi Masisi
Gabon, Ali Bongo Ondimba,Rose Christiane Raponda
Namibia, Hage Geingob,Saara Kuugongelwa
Guinea-Bissau, Umaro Sissoco Embaló,Nuno Gomes Nabiam
Mauritius, Prithvirajsing Roopun,Pravind Jugnauth
Equatorial, Guinea Teodoro Obiang Nguema Mbasogo,Francisco Pascual Obama Asue
Djibouti, Ismaïl Omar Guelleh,Abdoulkader Kamil Mohamed
Comoros, Azali Assoumani
Cape Verde, José Maria Neves,Ulisses Correia e Silva
São Tomé and Príncipe, Carlos Vila Nova, Jorge Bom Jesus
Seychelles, Wavel Ramkalawan
